#{"t_start": 1789608415.906354, "env_id": "None"}
r,l,t
118.7,13,2.914216
104.0,10,2.915143
118.7,13,2.916407
103.3,16,2.917902
88.2,18,2.919572
103.8,12,2.920675
103.9,11,2.921731
104.0,10,2.922671
103.5,15,2.92406
103.4,16,2.925553
73.1,19,2.927439
103.9,11,2.928471
88.6,14,2.929837
103.5,15,2.931317
103.8,12,2.932473
103.8,12,2.933637
103.0,21,2.935557
103.8,12,2.93668
88.6,14,2.938031
88.2,18,2.939726
103.3,17,2.94135
103.3,16,2.94284
103.2,17,2.944399
103.6,14,2.945666
88.5,15,2.947189
117.8,22,2.949288
103.8,12,2.95059
88.6,14,2.951948
103.7,13,2.953135
103.5,15,2.954525
103.6,14,2.95582
103.9,11,2.956823
103.7,13,2.958044
88.6,14,2.959285
118.6,14,2.960541
103.9,11,2.961543
118.7,13,2.962733
88.7,13,2.963925
103.8,12,2.965028
103.8,12,2.966126
103.9,11,2.96711
88.5,15,2.968478
87.7,23,2.970696
103.5,15,2.97215
103.8,12,2.973256
103.8,12,2.974406
103.5,15,2.975789
102.8,22,2.977813
103.4,16,2.979339
104.0,10,2.9803
88.1,19,2.98207
103.3,17,2.983588
102.7,21,2.98549
103.4,16,2.986928
103.4,16,2.988376
88.7,13,2.989542
103.7,13,2.990737
88.4,16,2.992171
118.6,14,2.993456
103.7,13,2.994633
103.1,19,2.996347
103.2,19,2.998169
103.3,18,2.999979
103.8,12,3.001188
118.3,17,3.002818
88.0,20,3.004656
103.4,16,3.006136
103.3,17,3.007697
87.8,22,3.009708
103.7,13,3.010903
104.0,10,3.01182
88.6,14,3.013091
88.0,19,3.014811
88.2,18,3.016466
88.5,15,3.017834
103.8,12,3.018922
88.2,17,3.020466
103.3,17,3.021996
88.2,18,3.023633
103.5,15,3.024998
103.2,17,3.026543
103.3,17,3.028097
103.8,12,3.029187
103.6,14,3.030454
103.2,18,3.032076
103.8,12,3.033174
103.2,18,3.034792
103.1,18,3.036426
73.2,18,3.038049
118.8,12,3.039137
88.7,13,3.040308
103.6,16,3.041761
88.0,21,3.043649
88.4,16,3.045095
103.7,13,3.046276
88.6,14,3.047555
103.9,11,3.048561
103.7,13,3.049749
103.6,14,3.051012
88.1,19,3.052723
103.9,11,3.053726
103.8,13,3.054906
103.8,12,3.055992
133.4,16,3.057434
103.8,12,3.058519
103.0,20,3.060317
103.1,19,3.062035
103.8,12,3.063122
88.7,13,3.064292
88.1,19,3.066001
103.8,13,3.067194
103.2,18,3.068819
117.4,22,3.267294
103.2,17,3.268915
103.9,11,3.269959
103.8,12,3.27108
103.9,11,3.272108
118.8,12,3.273247
118.8,12,3.274354
88.5,15,3.275739
88.1,19,3.277478
88.3,17,3.27903
88.5,15,3.28041
103.9,11,3.281422
103.5,16,3.282923
103.7,13,3.284316
103.4,17,3.285987
103.7,13,3.287203
88.6,14,3.288537
103.2,18,3.290267
103.1,18,3.292092
88.7,13,3.293381
102.9,20,3.295259
102.8,22,3.29725
103.4,16,3.298726
118.7,13,3.300042
103.6,14,3.301346
103.5,14,3.302627
103.9,11,3.30361
88.2,18,3.305243
103.7,14,3.306523
73.2,18,3.308127
104.0,10,3.30906
103.6,14,3.310355
103.8,12,3.311428
88.6,14,3.312708
88.3,17,3.314238
88.7,13,3.315402
103.9,11,3.3165
118.4,15,3.317854
118.9,11,3.318873
132.8,21,3.320764
103.6,14,3.32203
103.2,18,3.323678
103.7,13,3.324867
103.7,13,3.326028
118.8,12,3.327105
103.6,14,3.328477
88.7,13,3.329845
104.0,10,3.33082
118.8,12,3.33197
88.2,17,3.333688
103.6,14,3.335101
118.3,17,3.336799
103.8,12,3.337977
103.7,13,3.339237
118.8,12,3.34043
103.9,11,3.34153
103.1,19,3.343313
118.3,17,3.344959
103.9,11,3.346012
88.7,13,3.347269
103.4,15,3.348664
103.8,12,3.349784
103.8,12,3.350911
88.6,14,3.352182
73.3,17,3.353748
103.8,12,3.354881
103.6,14,3.356164
118.8,12,3.357295
103.6,14,3.358567
103.7,13,3.359781
88.4,16,3.361347
133.8,12,3.362488
103.2,18,3.36415
103.9,11,3.365279
103.8,12,3.366458
103.9,11,3.367522
103.9,11,3.368622
88.7,13,3.369845
103.8,12,3.370982
104.0,10,3.371898
103.7,13,3.373084
103.4,16,3.374522
88.7,13,3.375761
103.3,15,3.377274
103.9,11,3.378294
103.8,12,3.379379
103.8,12,3.38047
103.8,12,3.381557
103.9,11,3.382552
103.6,14,3.383879
103.5,15,3.385221
103.7,13,3.38637
118.6,14,3.387608
118.8,12,3.388676
88.5,15,3.390006
103.5,15,3.391362
103.3,17,3.392853
73.1,20,3.394618
103.9,11,3.395595
118.6,14,3.396836
103.4,16,3.39824
118.6,15,3.399577
118.0,20,3.401352
118.6,14,3.402587
103.6,14,3.403822
88.7,13,3.404971
118.2,18,3.406558
88.4,16,3.407977
103.6,14,3.409216
118.6,15,3.410593
103.1,19,3.412264
88.7,13,3.413423
103.7,13,3.414571
103.8,12,3.41564
103.4,16,3.417053
103.6,14,3.418292
87.9,21,3.420141
88.6,14,3.421375
88.1,19,3.42305
103.7,13,3.424209
88.7,13,3.42536
103.3,17,3.426861
118.7,13,3.428017
103.7,14,3.429263
103.9,11,3.430237
118.6,14,3.43147
88.5,16,3.432877
88.3,17,3.434376
88.0,20,3.436133
103.6,14,3.437365
103.3,17,3.438866
118.9,11,3.439845
103.5,15,3.441171
103.6,15,3.442491
118.6,14,3.443716
103.7,14,3.444955
103.5,14,3.446196
103.4,17,3.447686
103.9,11,3.448652
88.3,17,3.450149
133.8,12,3.451206
88.7,13,3.452361
103.9,11,3.453345
103.6,14,3.652731
103.8,12,3.653927
118.4,16,3.655418
103.8,12,3.656518
103.9,11,3.657519
104.0,10,3.658421
103.5,15,3.659767
103.7,13,3.660932
88.1,19,3.662631
103.4,15,3.663976
88.4,16,3.665404
103.8,12,3.666479
88.5,15,3.667824
103.1,17,3.669379
87.9,20,3.671386
103.6,14,3.672799
88.3,16,3.674269
104.0,10,3.675349
118.7,14,3.676739
118.8,12,3.677913
88.7,13,3.679177
103.7,13,3.680418
103.2,18,3.682104
103.3,17,3.683852
103.8,12,3.684988
103.8,12,3.686111
103.9,11,3.68722
103.7,13,3.688458
103.3,17,3.690007
88.7,13,3.691337
103.6,14,3.692674
103.9,11,3.693724
103.4,16,3.695456
104.0,10,3.696461
88.4,16,3.697996
103.1,19,3.699869
104.0,11,3.700955
88.7,13,3.702191
103.9,11,3.703214
103.9,11,3.704242
88.6,14,3.705523
103.6,14,3.70684
118.6,14,3.708137
103.7,13,3.70933
103.9,11,3.71035
103.5,15,3.711768
103.8,12,3.712863
88.7,13,3.714073
103.6,15,3.715651
103.9,11,3.716792
103.7,13,3.718045
103.5,15,3.719533
104.0,10,3.720499
88.7,13,3.721687
103.4,16,3.723256
103.3,17,3.724926
103.9,11,3.725967
118.9,11,3.727052
104.0,10,3.727989
104.0,10,3.728918
104.0,10,3.729864
103.5,15,3.731303
104.0,10,3.732231
103.6,14,3.733544
103.7,13,3.734758
133.8,12,3.735854
118.3,17,3.737431
88.7,13,3.738653
118.3,17,3.740282
118.5,15,3.741816
103.3,16,3.743347
103.8,12,3.744479
88.4,16,3.745935
104.0,10,3.746915
73.3,18,3.74861
103.1,19,3.750392
103.7,13,3.751602
118.8,12,3.75272
103.9,11,3.75371
103.6,13,3.754897
103.7,13,3.756058
103.6,14,3.757349
103.9,12,3.758429
103.1,18,3.760061
103.0,20,3.761852
103.7,13,3.763046
88.6,14,3.764293
103.5,15,3.765658
88.5,15,3.767042
103.8,12,3.768113
103.5,15,3.769493
104.0,10,3.770397
103.0,19,3.772111
88.6,14,3.773362
103.7,13,3.774535
103.3,16,3.775969
118.8,12,3.777038
103.9,11,3.778021
103.7,13,3.779197
118.9,11,3.780184
118.7,13,3.781344
104.0,10,3.782245
103.8,12,3.783338
103.8,12,3.78443
88.2,18,3.786035
103.6,15,3.787377
103.8,12,3.788453
103.8,12,3.789528
103.7,13,3.790697
103.8,12,3.791767
102.8,20,3.793592
103.8,12,3.794666
103.6,14,3.795921
103.6,14,3.797179
103.8,12,3.798252
118.4,16,3.799697
103.6,14,3.800949
103.5,15,3.802278
118.4,16,3.803704
103.8,12,3.804769
88.6,14,3.806017
88.6,14,3.807286
103.8,12,3.808361
103.5,15,3.809702
88.7,13,3.81086
103.2,17,3.812363
103.6,15,3.813698
103.9,11,3.814685
118.6,14,3.815947
88.7,13,3.817118
103.9,11,3.818102
88.6,14,3.819346
103.6,13,3.820507
103.8,12,3.821571
118.9,11,3.822556
103.4,16,3.823979
88.6,14,3.825233
103.3,15,3.826575
88.7,13,3.827731
103.9,11,3.828718
103.4,16,3.83014
118.7,13,3.831301
88.5,15,3.832637
103.7,13,3.833795
88.3,17,3.835305
103.7,13,3.836472
103.7,13,3.837634
118.5,15,3.838967
104.0,10,3.839865
103.9,11,3.840848
88.7,13,4.038842
104.0,11,4.039954
103.8,12,4.041097
103.7,13,4.042284
103.6,13,4.043475
103.7,13,4.044676
103.9,11,4.045687
88.4,16,4.047141
103.4,16,4.048609
104.0,10,4.049527
104.0,10,4.050446
88.1,19,4.052197
118.8,12,4.053418
88.4,15,4.0549
103.7,13,4.056295
103.4,15,4.05776
104.0,10,4.058782
103.9,11,4.059814
104.0,10,4.060752
88.6,14,4.062098
103.8,12,4.06319
104.0,10,4.064155
103.6,14,4.065458
118.9,11,4.066517
103.8,12,4.067608
103.9,11,4.06866
103.8,12,4.069787
88.5,15,4.071164
103.4,17,4.072733
118.9,11,4.07375
103.8,12,4.07485
118.9,11,4.075873
118.3,17,4.077474
103.9,11,4.078517
88.7,13,4.079726
104.0,10,4.080655
103.8,12,4.081775
103.8,12,4.08303
103.8,12,4.084194
118.9,11,4.085226
104.0,10,4.086187
87.7,22,4.088221
103.6,14,4.089511
103.7,13,4.090749
103.8,12,4.091845
103.9,11,4.092856
103.6,14,4.094175
103.7,13,4.095383
103.7,13,4.09656
103.5,15,4.09807
103.3,17,4.099804
103.4,16,4.101313
103.9,11,4.102344
103.9,11,4.103376
103.9,11,4.104421
103.8,12,4.105521
103.5,15,4.10704
104.0,10,4.108006
104.0,10,4.108927
103.8,12,4.110034
104.0,10,4.110963
103.6,14,4.112229
104.0,10,4.113142
103.5,15,4.114536
103.7,13,4.115742
118.5,15,4.117142
104.0,10,4.118078
103.9,11,4.119078
103.2,18,4.120729
104.0,10,4.121656
103.8,12,4.122882
104.0,10,4.123848
118.6,14,4.125241
103.8,12,4.126428
118.6,14,4.127732
103.7,14,4.12903
103.7,13,4.130292
103.9,11,4.131308
118.7,13,4.132509
103.8,12,4.1337
103.7,13,4.134963
104.0,10,4.135893
103.9,11,4.136925
118.6,14,4.138231
104.0,10,4.139146
104.0,10,4.140055
103.5,15,4.141557
103.7,13,4.142834
103.5,15,4.144233
103.8,12,4.145378
103.8,12,4.146503
88.6,14,4.147782
104.0,10,4.148722
133.2,16,4.150223
103.9,11,4.151234
103.7,13,4.152452
118.9,11,4.15348
104.0,10,4.154391
103.6,14,4.155673
118.7,13,4.156853
103.6,14,4.158136
103.9,11,4.159138
88.4,17,4.160692
104.0,10,4.161603
104.0,10,4.16251
88.7,13,4.163686
88.2,17,4.165218
103.6,14,4.166502
103.6,14,4.167791
104.0,10,4.168702
103.1,19,4.170409
103.9,11,4.171419
118.5,15,4.172781
103.9,11,4.173792
103.8,12,4.174884
103.9,11,4.175885
103.7,13,4.177108
103.7,13,4.178279
103.7,12,4.179363
104.0,10,4.180269
103.9,11,4.181271
103.8,12,4.182357
103.7,13,4.183541
103.8,12,4.184631
118.7,13,4.18581
103.5,15,4.187167
